div,year,intsq,ton,n_samples
IV,1969,40F6,892.73545053,
IV,1969,40F7,1003.2930147,
IV,1969,40F8,64.735326036,
IV,1969,41F0,83.652912867,
IV,1969,41F1,200.1108896,
IV,1969,41F2,315.91276506,
IV,1969,41F3,308.13796492,
IV,1969,41F4,698.41434227,
IV,1969,41F5,1406.0040422,
IV,1969,41F6,1752.8229891,
IV,1969,41F7,368.82208427,
IV,1969,41F8,15.746430657,
IV,1969,41G0,954.8683196,
IV,1969,41G1,2117.7974767,
IV,1969,41G2,488.64536849,
IV,1969,42F0,85.29316606,
IV,1969,42F1,59.049114965,
IV,1969,42F2,123.01898951,
IV,1969,42F3,47.895393249,
IV,1969,42F4,471.08071716,
IV,1969,42F5,270.61990688,
IV,1969,42F6,794.18960104,
IV,1969,42F7,505.30460005,
IV,1969,42F8,129.25195165,
IV,1969,42G0,451.47378659,
IV,1969,42G1,1390.7918342,
IV,1969,42G2,200.25249813,
IV,1969,43F1,6.8234532848,
IV,1969,43F2,46.583190694,
IV,1969,43F3,159.76066104,
IV,1969,43F6,99.727394163,
IV,1969,43F7,640.38109078,
IV,1969,43F8,2003.5074148,
IV,1969,43F9,235.26831087,
IV,1969,43G0,2510.2108072,
IV,1969,43G1,2093.2495724,
IV,1969,43G2,21.323291515,
IV,1969,44F0,103.57214765,
IV,1969,44F1,96.118837137,
IV,1969,44F5,36.085570256,
IV,1969,44F8,275.25908966,
IV,1969,44F9,2238.403232,
IV,1969,44G0,5847.7226473,
IV,1969,44G1,2942.2686699,
IV,1969,45F0,547.54822754,
IV,1969,45F1,118.09822993,
IV,1969,45F4,12.46592427,
IV,1969,45F9,64.954026461,
IV,1969,45G0,231.90987684,
IV,1969,45G1,183.92705809,
IV,1969,46F0,249.75588626,
IV,1969,46F1,112.84941971,
IV,1969,47F0,262.76856159,
IV,1969,47F1,149.26304061,
IV,1969,48F0,225.04273814,
IV,1969,49F0,624.8271165,
IV,1969,49F1,331.33114508,
IV,1969,49F3,26.244051095,
IV,1969,50F0,112.19331843,
IV,1969,50F1,9.8415191608,
IV,1970,33F3,116.44715445,
IV,1970,33F4,43.878446998,
IV,1970,34F1,99.454300461,
IV,1970,34F2,795.96372256,
IV,1970,34F4,59.277397626,
IV,1970,35F1,3.293188757,
IV,1970,35F2,723.84288879,
IV,1970,35F3,103.73544585,
IV,1970,35F4,87.598820936,
IV,1970,35F5,69.156963897,
IV,1970,36F0,19.759132542,
IV,1970,36F1,518.34791035,
IV,1970,36F2,567.18589962,
IV,1970,36F3,582.89440999,
IV,1970,36F4,572.35620596,
IV,1970,36F5,203.51906518,
IV,1970,36F6,111.8037583,
IV,1970,36F7,683.99530483,
IV,1970,36F8,577.99348648,
IV,1970,37F0,46.104642598,
IV,1970,37F1,578.43762787,
IV,1970,37F2,676.51976635,
IV,1970,37F3,1314.4214059,
IV,1970,37F4,1175.4707949,
